call time  cumulative   self        calls
   1.438    18.45      0.19        130 Game_Screen#update#175#return#Game_Screen
   0.011    18.62      0.17      15730 SpriteAnimation#clear#23#return#RPG__Sprite
   0.008    18.79      0.17      20670 Game_Event#check_event_trigger_auto#285#return#Game_Event_
   0.004    18.95      0.16      36530 Game_Character#jumping?#72#return#Game_Character
   0.041    19.11      0.16       3770 Game_Event#graphical?#310#return#Game_Event_
   0.007    19.25      0.14      20800 Game_Character#graphical?#817#return#Game_Character
   0.008    19.38      0.13      15730 Game_Map#outdoor#126#return#Game_Map_
   0.010    19.47      0.10       9490 AnimatedBitmap#bitmap#173#return#SpriteWindow
   0.715    19.56      0.09        130 Interpreter#setup_starting_event#98#return#Interpreter
   0.010    19.66      0.09       9490 GifBitmap#disposed?#558#return#SpriteWindow
   0.012    19.73      0.08       6500 Sprite_Picture#update#43#return#Sprite_Picture
   0.005    19.81      0.08      15860 Sprite#y#253#return#SpriteResizer
   0.012    19.89      0.08       6240 Game_Character#bush_depth#215#return#Game_Character
   0.004    19.95      0.06      15600 Game_Event#name#93#return#Game_Event_
   0.095    20.02      0.06        650 GifBitmap#initialize#513#return#SpriteWindow
   0.003    20.06      0.05      15730 Sprite#x#234#return#SpriteResizer
   0.004    20.11      0.05      10790 GifBitmap#bitmap#534#return#SpriteWindow
   0.246    20.14      0.03        130 Spriteset_Map#update#25#return#MapScrollerUpAndDown
   0.246    20.17      0.03        130 ReflectedSprite#update#61#return#ReflectedSprite
   0.049    20.20      0.03        650 AnimatedBitmap#currentIndex#174#return#SpriteWindow
   0.049    20.24      0.03        650 AnimatedBitmap#initialize#166#return#SpriteWindow
   0.246    20.27      0.03        130 NotifiableRect#set#317#return#SpriteResizer
   0.049    20.30      0.03        650 RPG::Cache#load_bitmap#63#return#BitmapCache
   0.048    20.33      0.03        650 BushBitmap#bitmap#27#return#Sprite_Character
   0.240    20.36      0.03        129 Input#update#141#return#PokemonSystem
   0.048    20.39      0.03        650 Game_Map#bush?#351#return#Game_Map_
   0.040    20.42      0.03        780 Object#safeExists?#144#return#SpriteWindow
   0.238    20.46      0.03        130 Object#pbDayNightTint#137#return#PokemonTime
   0.048    20.49      0.03        650 BushBitmap#dispose#14#return#Sprite_Character
   0.231    20.52      0.03        130 Game_Player#update#515#return#Game_Player_
   0.012    20.53      0.02       1300 Sprite_Character#update#91#return#Sprite_Character
   0.123    20.55      0.02        130 Kernel#clone#49#return#<internal:kernel>
   0.123    20.56      0.02        130 Game_Player#bush_depth#60#return#Game_Player_
   0.062    20.58      0.02        260 Object#pbTryString#1049#return#SpriteWindow
   0.123    20.60      0.02        130 Game_Player#character_name#69#return#Walk_Run
   0.123    20.61      0.02        130 Scene_Map#updateMaps#40#return#Scene_Map
   0.002    20.63      0.02       6500 Game_Picture#update#155#return#Game_Picture
   0.025    20.65      0.02        650 GifBitmap#dispose#589#return#SpriteWindow
   0.041    20.66      0.02        390 Graphics#width#13#return#SpriteResizer
   0.123    20.68      0.02        130 Game_Player#update#98#return#Walk_Run
   0.123    20.69      0.02        130 Viewport#oy=#407#return#SpriteResizer
   0.041    20.71      0.02        390 Viewport#ox=#397#return#SpriteResizer
   0.021    20.73      0.02        780 Integer#to_i#132#return#<internal:integer>
   0.123    20.74      0.02        130 DependentEvents#updateDependentEvents#414#return#DependentEvents
   0.025    20.76      0.02        650 AnimatedBitmap#height#170#return#SpriteWindow
   0.012    20.77      0.02       1300 Game_Player#map#14#return#Game_Player_
   0.115    20.79      0.02        130 Scene_Map#update#195#return#Scene_Map
   0.115    20.80      0.02        130 MapFactoryHelper#mapInRange?#442#return#PokemonMap
   0.038    20.82      0.01        390 PokemonMapFactory#getTerrainTag#719#return#PokemonMap
   0.115    20.83      0.01        130 Spriteset_Map::HUD#showHUD?#52#return#FL_SimpleHUD
   0.115    20.85      0.01        130 Spriteset_Map#update#89#return#AnimationSprite
   0.058    20.86      0.01        260 Object#pbGetFileChar#1423#return#SpriteWindow
   0.058    20.88      0.01        260 Game_Map#terrain_tag#375#return#Game_Map_
   0.115    20.89      0.01        130 LargePlane#zoom_x#70#return#LargePlane
   0.115    20.91      0.01        130 PokemonGlobalMetadata#dependentEvents#50#return#DependentEvents
   0.115    20.92      0.01        130 PokemonMapFactory#setMapsInRange#852#return#PokemonMap
   0.013    20.94      0.01       1170 Game_Switches#[]#27#return#Game_Switches
   0.115    20.95      0.01        130 Interpreter#update#106#return#Interpreter
